sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Shinyanga,11/10/2020,68.71,48.06,17.4,0.27,0.99,3.35,0.93,5.17,0.21,0.43,0.53,0.14,Moderate,Moderate pitting observed
Mtwara,17/02/2023,76.71,53.65,15.81,0.11,0.4,0.42,1.27,0.7,0.76,1.47,1.4,0.55,Moderate,Uniform corrosion with scaling
Zanzibar,09/12/2023,64.71,45.26,25.76,0.5,1.44,0.42,0.05,1.28,0.25,1.32,1.15,0.8,Very Low,Passive corrosion behavior
Musoma,17/09/2025,59.8,41.83,22.45,0.77,0.09,5.42,1.39,2.14,0.2,2.97,0.72,0.39,Low,Protective oxide layer formation
Musoma,25/06/2024,62.27,43.55,26.0,1.49,0.18,2.73,0.83,3.12,0.76,0.95,0.41,0.26,Moderate,Erosive wear from particulate ingress
Pemba,18/09/2023,72.01,50.36,17.34,0.91,0.59,0.26,0.08,2.97,0.36,1.95,0.27,0.2,Moderate,Moderate pitting observed
Mbeya,23/04/2020,92.19,64.48,6.3,3.43,0.05,0.2,0.1,0.5,0.97,0.1,0.05,0.05,High,Advanced galvanic corrosion
Pwani,17/04/2021,79.27,55.44,5.46,3.3,0.15,2.58,2.69,0.65,1.42,1.68,0.62,0.5,High,Aggressive pitting corrosion
Dar es Salaam,05/12/2022,63.72,44.57,22.51,1.1,0.66,5.41,0.54,0.7,0.09,1.05,1.2,0.07,Low,Minimal corrosion activity
Dar es Salaam,01/01/2022,62.26,43.55,39.09,1.09,0.05,0.2,0.1,0.5,0.06,0.1,0.05,0.05,Low,Minimal corrosion activity
Bukoba,23/12/2022,69.44,48.57,26.55,0.62,0.12,1.13,0.51,0.36,0.56,0.12,0.11,0.32,Moderate,Selective corrosion activity
Mbeya,05/06/2020,43.42,30.37,43.11,1.08,0.34,4.33,1.72,2.55,0.18,0.1,0.8,0.19,Low,Minimal corrosion activity
Musoma,20/03/2021,44.01,30.78,38.69,0.39,0.07,5.87,2.61,2.28,0.22,1.63,1.14,0.61,Low,Light surface scaling
Tabora,14/11/2024,53.11,37.14,32.35,1.15,1.13,2.65,0.69,5.05,0.19,0.33,0.73,0.53,Low,Light surface scaling
Njombe,16/11/2023,67.34,47.1,25.36,1.88,0.03,0.9,0.6,0.78,0.7,0.24,1.23,0.2,Moderate,Moderate crevice corrosion
Ruvuma,08/07/2023,59.63,41.7,20.12,0.3,1.1,3.84,2.46,5.99,0.17,2.88,1.21,0.4,Low,Slight discoloration only
Singida,22/11/2024,64.37,45.02,22.11,0.47,1.23,3.29,1.78,1.67,0.28,1.13,0.54,0.36,Very Low,Excellent corrosion resistance
Zanzibar,25/09/2025,70.26,49.14,18.32,1.59,0.03,3.95,0.72,0.81,0.57,1.13,0.33,0.39,Moderate,Selective corrosion activity
Njombe,18/04/2021,85.55,59.83,6.32,4.24,0.23,1.04,0.19,0.41,0.94,0.48,0.34,0.26,Severe,Metal loss in carbon steel
Rukwa,26/04/2024,72.91,50.99,21.62,0.35,0.35,0.38,0.29,1.14,0.17,0.52,0.86,0.07,Moderate,Uniform corrosion with scaling
Rukwa,17/02/2022,59.2,41.41,22.2,1.19,0.89,2.05,2.31,5.07,0.51,1.35,1.3,0.02,Moderate,Moderate crevice corrosion
Mbeya,09/11/2022,69.23,48.42,13.37,0.69,0.97,3.61,0.39,6.12,0.21,0.98,1.67,0.04,Moderate,Erosive wear from particulate ingress
Kagera,30/06/2020,53.81,37.64,29.02,1.1,0.92,5.69,2.2,3.44,0.12,0.21,1.15,0.73,Low,Minor surface oxidation
Madimba,21/11/2024,62.34,43.6,38.35,0.87,0.05,0.2,0.1,0.5,0.13,0.1,0.05,0.05,Low,Light surface scaling
Rukwa,07/01/2020,69.21,48.41,13.66,1.56,0.62,1.36,2.48,5.3,0.78,1.22,0.64,0.47,Moderate,General surface corrosion
Kagera,30/10/2025,83.22,58.2,8.69,3.13,0.1,1.48,0.38,0.36,1.18,0.24,0.36,0.71,Severe,Significant wall thinning
Dar es Salaam,18/03/2022,72.24,50.53,19.62,0.28,0.37,0.59,0.87,2.24,0.79,0.39,1.22,0.62,Moderate,General surface corrosion
Dodoma,31/01/2024,61.89,43.29,28.26,0.72,0.17,1.9,0.95,2.28,0.23,0.81,1.37,0.44,Low,Light surface scaling
Shinyanga,01/11/2024,55.65,38.92,43.58,1.12,0.05,0.2,0.1,0.5,0.18,0.1,0.05,0.05,Low,Minor surface oxidation
Zanzibar,13/10/2020,45.74,31.99,43.22,0.14,0.59,1.99,1.18,1.31,0.11,2.03,0.35,0.22,Low,Slight discoloration only
Musoma,14/09/2023,58.39,40.84,21.05,1.26,0.15,5.32,2.4,7.03,0.61,0.46,0.61,0.72,Moderate,Selective corrosion activity
Tabora,09/07/2023,93.11,65.12,6.85,1.24,0.05,0.2,0.1,0.5,0.71,0.1,0.05,0.05,High,Severe corrosion (oxidation and MIC)
Rukwa,25/05/2021,51.74,36.19,22.4,1.04,0.51,7.32,0.83,8.4,0.33,2.72,1.11,0.05,Very Low,No significant deterioration
Njombe,15/05/2023,39.5,27.63,44.71,0.09,0.86,2.59,2.85,4.2,0.06,0.67,0.97,0.57,Very Low,Negligible corrosion detected
Shinyanga,08/09/2025,43.83,30.66,43.4,0.85,1.42,2.85,1.66,0.49,0.17,0.54,1.97,0.76,Very Low,Excellent corrosion resistance
Rukwa,20/06/2023,60.01,41.98,30.25,0.85,0.5,1.41,0.67,2.98,0.24,0.76,0.27,0.72,Low,Minimal corrosion activity
Shinyanga,30/07/2024,69.57,48.66,21.67,0.29,0.1,2.08,0.94,0.54,0.23,1.15,0.87,0.15,Moderate,Selective corrosion activity
Madimba,29/08/2023,86.22,60.31,4.58,3.34,0.02,0.54,0.49,2.1,0.5,0.61,0.78,0.43,High,Advanced galvanic corrosion
Shinyanga,06/07/2024,59.83,41.85,28.75,0.62,0.41,0.15,2.62,2.92,0.22,0.93,0.29,0.36,Low,Acceptable corrosion rates
Njombe,26/04/2023,64.28,44.96,18.73,1.39,0.54,4.52,0.33,3.67,0.77,1.06,1.14,0.69,Moderate,Moderate pitting observed
Bukoba,05/06/2021,56.48,39.5,27.97,0.08,0.84,4.29,1.08,3.55,0.23,1.59,1.1,0.52,Very Low,Negligible corrosion detected
Iringa,24/02/2022,51.48,36.01,35.03,0.56,1.03,2.98,1.61,1.2,0.21,2.27,1.33,0.1,Low,Protective oxide layer formation
Ruvuma,18/09/2024,85.01,59.45,11.12,4.11,0.05,0.2,0.1,0.5,0.46,0.1,0.05,0.05,Severe,Metal loss in carbon steel
Bukoba,01/04/2024,75.75,52.98,6.97,2.16,1.65,0.14,0.55,4.42,0.56,1.78,1.83,0.57,Severe,Deep penetration corrosion
Kagera,13/12/2021,71.67,50.13,13.88,1.8,1.32,0.16,2.99,1.23,0.79,0.91,0.36,0.47,Moderate,Erosive wear from particulate ingress
Madimba,17/05/2023,81.4,56.94,3.07,3.28,1.84,1.08,0.97,1.7,1.09,0.61,0.8,0.2,High,Critical structural degradation
Mbeya,21/07/2024,62.37,43.62,27.54,1.51,0.39,1.54,0.28,2.84,0.43,0.99,0.82,0.71,Moderate,Moderate crevice corrosion
Songosongo,02/01/2020,75.73,52.96,19.82,1.53,0.06,0.92,0.27,0.51,0.54,0.11,0.19,0.05,Moderate,Selective corrosion activity
Madimba,29/05/2023,56.12,39.25,27.65,0.61,0.95,3.98,2.59,4.09,0.15,0.73,1.07,0.71,Very Low,Negligible corrosion detected
Tabora,21/03/2023,66.91,46.79,23.99,1.2,0.57,0.27,2.39,0.49,0.78,0.89,0.73,0.08,Moderate,Erosive wear from particulate ingress
Arusha,10/05/2022,89.94,62.91,4.37,1.95,0.2,0.92,0.15,0.35,1.32,0.28,0.21,0.3,Severe,Severe localized attack
Mtwara,26/10/2024,62.91,44.0,27.95,0.63,0.73,1.08,0.14,2.14,0.64,0.15,1.53,0.43,Moderate,General surface corrosion
Singida,12/08/2023,75.67,52.92,3.61,2.16,0.74,7.64,0.71,0.79,0.89,2.77,1.97,0.45,Severe,Critical stress corrosion cracking
Bukoba,19/03/2025,75.11,52.53,10.93,3.57,0.55,2.01,2.68,0.65,0.55,1.02,0.26,0.01,High,Severe intergranular attack
Morogoro,14/12/2024,76.75,53.68,11.06,3.15,0.88,0.33,1.41,2.34,0.63,0.37,0.57,0.38,Severe,Rapid corrosion propagation
Iringa,16/12/2024,75.28,52.65,15.14,1.79,0.52,1.37,1.54,0.53,0.55,1.04,0.39,0.31,Moderate,Uniform corrosion with scaling
Iringa,25/05/2022,53.76,37.6,37.14,0.61,1.17,1.25,0.11,1.29,0.14,0.85,1.8,0.42,Low,Minimal corrosion activity
Songosongo,24/09/2025,64.86,45.37,23.63,1.34,0.06,0.6,0.57,3.77,0.15,0.61,0.25,0.79,Moderate,Moderate crevice corrosion
Zanzibar,22/04/2025,66.87,46.77,27.05,0.58,0.43,0.69,0.47,1.21,0.74,0.45,0.42,0.69,Moderate,Selective corrosion activity
Dar es Salaam,26/11/2021,81.72,57.16,2.05,2.87,0.85,1.16,2.64,2.28,0.62,0.51,1.22,0.56,High,Severe intergranular attack
Mbeya,13/12/2020,74.99,52.45,19.03,1.18,0.16,1.49,0.53,1.02,0.19,0.54,0.07,0.02,Moderate,Erosive wear from particulate ingress
Mtwara,08/03/2023,71.05,49.7,16.73,1.6,0.33,1.75,0.64,1.88,0.47,0.41,0.12,0.17,Moderate,Selective corrosion activity
Iringa,12/10/2025,50.09,35.03,44.27,0.39,0.03,0.82,0.06,0.91,0.12,1.14,1.23,0.71,Very Low,Passive corrosion behavior
Dar es Salaam,04/10/2023,66.28,46.36,26.16,0.59,0.92,0.83,1.56,0.8,0.53,0.15,0.18,0.64,Moderate,Moderate crevice corrosion
Pwani,17/01/2021,69.9,48.89,14.86,1.45,0.73,1.18,2.49,5.13,0.2,1.67,0.25,0.66,Moderate,Erosive wear from particulate ingress
Singida,20/08/2022,86.93,60.8,3.89,2.05,0.27,1.54,0.55,1.49,0.53,0.63,0.82,0.72,Severe,Metal loss in carbon steel
Arusha,25/06/2023,46.19,32.31,40.45,0.81,0.77,5.27,0.88,0.48,0.1,0.39,1.2,0.03,Low,Minimal corrosion activity
Zanzibar,09/07/2022,57.05,39.9,24.21,0.5,0.7,1.45,1.6,6.02,0.19,2.44,1.29,0.2,Low,Acceptable corrosion rates
Kigoma,26/03/2022,56.78,39.71,25.33,0.13,0.06,7.21,2.94,2.61,0.35,0.57,1.41,0.37,Low,Minimal corrosion activity
Kigoma,26/08/2021,53.3,37.28,41.5,0.05,0.43,0.48,1.56,0.52,0.1,0.72,0.33,0.28,Low,Minimal corrosion activity
Ruvuma,10/04/2020,47.83,33.45,29.2,0.53,1.17,6.67,0.79,6.17,0.31,1.87,0.75,0.39,Low,Slight discoloration only
Pwani,08/07/2020,68.47,47.89,20.52,1.95,1.06,0.82,1.25,0.55,0.74,1.37,1.93,0.32,Moderate,Uniform corrosion with scaling
Mbeya,29/09/2022,57.05,39.9,23.36,0.73,1.64,5.04,1.52,5.61,0.22,0.86,1.33,0.33,Very Low,Excellent corrosion resistance
Tanga,30/04/2025,62.34,43.6,24.31,1.04,0.06,4.35,0.72,3.03,0.32,1.09,0.66,0.77,Low,Slight discoloration only
Bukoba,25/10/2020,61.62,43.1,23.26,0.33,1.47,5.67,0.1,2.32,0.57,0.82,0.65,0.21,Moderate,Erosive wear from particulate ingress
Madimba,08/02/2025,73.95,51.72,27.09,0.3,0.05,0.2,0.1,0.5,0.67,0.1,0.05,0.05,Moderate,Moderate crevice corrosion
Morogoro,24/08/2024,55.43,38.77,33.06,0.03,1.05,2.54,0.83,2.44,0.18,0.72,1.74,0.16,Low,Light surface scaling
Singida,07/03/2022,60.91,42.6,32.89,0.43,0.34,1.53,0.76,0.54,0.18,0.3,1.02,0.48,Low,Minor surface oxidation
Pwani,21/04/2024,46.92,32.82,39.4,0.85,0.65,4.13,2.02,1.02,0.27,0.15,0.67,0.54,Low,Slight discoloration only
Songosongo,17/07/2025,48.63,34.02,39.54,1.1,0.98,0.13,1.55,4.06,0.37,0.82,0.43,0.79,Low,Minor surface oxidation
Mwanza,24/06/2024,73.25,51.23,14.94,0.26,0.5,4.31,0.08,0.39,0.64,1.64,1.23,0.56,Moderate,Erosive wear from particulate ingress
Shinyanga,26/09/2022,75.09,52.52,21.4,0.73,0.3,0.11,0.09,0.53,0.7,0.32,0.3,0.07,Moderate,Selective corrosion activity
Zanzibar,27/08/2021,55.85,39.06,34.68,1.01,0.58,3.25,1.45,0.38,0.28,0.4,0.28,0.04,Low,Acceptable corrosion rates
Madimba,23/01/2020,54.87,38.38,31.36,1.03,1.59,1.01,1.35,3.61,0.1,0.27,0.26,0.72,Low,Slight discoloration only
Bukoba,12/03/2021,84.29,58.96,7.81,3.55,0.11,0.95,0.29,0.7,1.28,0.43,0.17,0.42,Severe,Metal loss in carbon steel
Iringa,07/10/2024,86.09,60.21,6.15,1.47,0.29,1.36,0.07,1.53,1.46,0.4,0.59,0.05,Severe,Severe localized attack
Pwani,15/06/2022,85.97,60.13,4.49,1.53,0.14,0.24,0.38,1.69,0.71,1.64,0.46,0.37,Severe,Significant wall thinning
Lindi,21/12/2021,72.56,50.75,24.64,0.95,0.11,0.16,0.17,0.32,0.55,0.16,0.13,0.24,Moderate,Erosive wear from particulate ingress
Dar es Salaam,22/10/2025,48.8,34.13,34.36,0.12,0.57,3.69,2.08,6.4,0.08,1.29,0.71,0.69,Low,Light surface scaling
Arusha,17/03/2025,84.98,59.44,7.42,4.25,0.19,0.26,0.05,0.59,0.99,0.22,0.24,0.36,High,Aggressive pitting corrosion
Ruvuma,24/07/2020,82.01,57.36,2.47,2.47,0.67,2.5,1.87,3.98,0.45,0.34,0.5,0.19,High,Severe intergranular attack
Kagera,17/10/2022,63.25,44.24,24.69,0.01,0.47,2.66,1.43,4.37,0.37,0.21,0.36,0.15,Very Low,Stable protective coating
Kagera,12/05/2021,77.7,54.35,11.32,2.53,0.16,2.37,0.55,3.07,0.6,0.21,0.38,0.25,Severe,Significant wall thinning
Singida,12/02/2025,63.89,44.69,37.8,0.19,0.05,0.2,0.1,0.5,0.05,0.1,0.05,0.05,Low,Acceptable corrosion rates
Ruvuma,30/06/2021,76.07,53.2,14.97,0.65,0.77,1.91,0.49,2.29,0.57,0.38,1.06,0.37,Moderate,Moderate pitting observed
Pwani,18/03/2025,84.05,58.78,2.72,2.37,0.86,0.18,1.36,2.29,0.87,1.95,1.27,0.73,Severe,Rapid corrosion propagation
Dar es Salaam,15/12/2025,47.28,33.07,32.62,0.95,1.15,7.11,1.44,1.29,0.16,2.65,1.35,0.65,Very Low,Optimal material performance
Rukwa,23/07/2023,64.16,44.87,24.85,1.08,0.86,0.47,2.71,1.66,0.39,0.26,0.83,0.33,Moderate,General surface corrosion
Morogoro,17/12/2024,56.54,39.55,24.35,1.23,0.63,7.08,1.99,1.42,0.69,2.37,1.09,0.74,Moderate,Moderate pitting observed
Tanga,29/08/2025,83.96,58.73,5.32,1.82,0.75,1.0,2.05,1.14,0.83,0.2,0.31,0.28,Severe,Metal loss in carbon steel
Kigoma,13/10/2024,59.45,41.58,30.19,0.19,0.38,0.97,1.6,2.84,0.19,1.62,1.41,0.79,Very Low,Passive corrosion behavior
Bukoba,31/12/2024,49.18,34.4,41.28,0.34,0.46,2.21,0.42,2.58,0.15,0.15,0.57,0.65,Low,Slight discoloration only
Pemba,13/10/2021,84.14,58.85,7.65,3.04,0.24,0.49,0.31,0.83,1.31,0.53,0.39,0.08,Severe,Critical stress corrosion cracking
Morogoro,28/04/2025,79.27,55.45,5.54,1.53,0.32,1.89,1.37,3.16,0.65,1.46,0.32,0.71,Severe,Significant wall thinning
Tabora,17/01/2025,64.48,45.1,19.97,0.17,1.47,4.07,0.56,3.46,0.51,0.76,1.89,0.12,Moderate,Erosive wear from particulate ingress
Mbeya,27/11/2022,68.93,48.21,21.43,1.93,0.12,2.54,0.98,1.79,0.46,0.32,0.24,0.41,Moderate,Moderate crevice corrosion
Zanzibar,09/10/2022,85.06,59.5,8.96,1.05,0.26,1.03,0.37,0.63,1.29,0.58,0.25,0.52,Severe,Severe localized attack
Njombe,09/02/2023,84.91,59.39,9.29,1.96,0.06,1.1,0.42,0.68,0.64,0.22,0.16,0.23,Severe,Significant wall thinning
Dodoma,05/11/2025,54.73,38.28,30.26,0.31,1.14,1.78,0.27,5.71,0.19,0.33,1.2,0.34,Low,Acceptable corrosion rates
Morogoro,07/06/2025,77.03,53.88,15.69,1.72,0.38,1.16,0.08,0.67,0.36,0.91,1.08,0.14,Moderate,Uniform corrosion with scaling
Dar es Salaam,06/09/2022,90.84,63.53,5.38,1.27,0.21,0.27,0.3,0.42,0.59,0.21,0.05,0.47,Severe,Rapid corrosion propagation
Iringa,29/01/2023,55.54,38.85,30.98,0.32,0.05,3.87,0.91,3.6,0.4,1.37,0.23,0.17,Low,Slight discoloration only
Singida,06/12/2024,74.45,52.07,22.47,0.76,0.02,0.28,0.23,0.52,0.61,0.16,0.3,0.11,Moderate,Selective corrosion activity
Tabora,13/11/2020,60.14,42.06,35.56,0.37,0.38,0.47,0.38,0.77,0.17,0.41,0.42,0.76,Very Low,Excellent corrosion resistance
Pwani,16/03/2023,45.12,31.56,42.85,0.71,0.03,3.66,0.51,2.71,0.07,1.55,1.23,0.75,Very Low,Stable protective coating
Musoma,18/08/2022,65.1,45.53,26.72,0.19,0.23,2.5,0.92,0.38,0.46,0.27,0.13,0.46,Moderate,General surface corrosion
Njombe,17/01/2023,66.63,46.6,25.78,1.65,0.4,1.79,0.58,0.32,0.55,0.65,0.35,0.73,Moderate,Uniform corrosion with scaling
Madimba,07/10/2023,51.86,36.27,42.97,0.02,0.5,0.83,0.59,0.46,0.09,0.35,0.62,0.04,Low,Light surface scaling
Morogoro,02/08/2023,73.64,51.51,23.6,1.41,0.05,0.11,0.07,0.3,0.6,0.1,0.04,0.02,Moderate,Uniform corrosion with scaling
Kigoma,26/11/2020,50.15,35.07,44.63,0.67,0.19,1.26,0.18,1.39,0.31,0.14,0.34,0.67,Low,Light surface scaling
Dar es Salaam,20/07/2021,63.97,44.74,26.87,1.74,0.26,1.81,1.04,2.48,0.35,0.25,0.21,0.66,Moderate,Uniform corrosion with scaling
Pwani,09/09/2021,47.17,32.99,37.45,0.4,0.72,4.76,1.96,2.16,0.28,1.52,0.03,0.56,Very Low,Stable protective coating
Lindi,05/08/2022,76.68,53.63,21.4,1.65,0.05,0.2,0.1,0.5,0.31,0.1,0.05,0.05,Moderate,Moderate pitting observed
Pemba,17/04/2024,62.46,43.69,14.17,1.46,3.02,6.51,0.71,1.51,0.34,2.18,1.06,0.44,Low,Minor surface oxidation
Shinyanga,17/09/2021,62.5,43.71,21.64,1.0,0.51,3.79,1.78,5.29,0.79,0.65,1.1,0.32,Moderate,Moderate pitting observed
Songosongo,26/05/2022,83.32,58.27,8.81,3.02,0.27,1.09,0.39,0.56,1.45,0.22,0.3,0.53,High,Advanced galvanic corrosion
Bukoba,20/09/2020,66.07,46.21,18.48,1.27,0.4,2.23,1.87,5.36,0.28,0.79,0.8,0.33,Moderate,General surface corrosion
Madimba,26/08/2024,69.67,48.73,17.9,1.56,0.27,2.89,0.31,3.37,0.77,0.46,0.46,0.69,Moderate,Moderate pitting observed
Iringa,27/07/2024,53.08,37.13,37.67,0.87,0.51,2.11,1.1,3.19,0.05,0.11,0.64,0.67,Very Low,Optimal material performance
Mwanza,17/09/2023,54.55,38.15,36.32,1.15,0.61,1.12,0.9,2.94,0.25,0.58,0.08,0.41,Low,Light surface scaling
Madimba,23/03/2025,73.21,51.21,26.54,1.21,0.05,0.2,0.1,0.5,0.76,0.1,0.05,0.05,Moderate,Erosive wear from particulate ingress
Lindi,30/08/2024,60.98,42.65,28.87,1.11,0.93,2.66,0.88,1.52,0.36,0.26,0.66,0.59,Very Low,Passive corrosion behavior
Bukoba,12/09/2020,72.82,50.93,19.26,0.35,0.2,1.64,1.12,2.04,0.48,0.14,0.34,0.13,Moderate,Moderate crevice corrosion
Kigoma,27/04/2022,62.72,43.87,20.38,0.87,0.29,3.4,2.47,4.68,0.35,0.89,1.03,0.44,Low,Slight discoloration only
Tabora,16/09/2024,68.0,47.56,26.44,1.9,0.12,0.92,0.09,1.0,0.72,0.17,0.33,0.32,Moderate,General surface corrosion
Dodoma,14/05/2024,77.78,54.4,9.05,1.73,0.54,1.28,1.08,1.72,0.58,1.95,1.11,0.09,Severe,Rapid corrosion propagation
Cyclone,21/03/2020,82.4,57.63,8.98,3.2,0.42,0.98,0.39,1.73,0.63,0.21,0.49,0.17,Severe,Deep penetration corrosion
Lindi,07/04/2024,73.62,51.49,24.25,1.42,-0.01,0.08,0.04,0.16,0.44,0.03,0.0,0.01,Moderate,Moderate crevice corrosion
Kilifi,07/05/2025,67.45,47.18,24.19,1.7,0.29,1.49,0.84,2.58,0.19,0.44,0.06,0.28,Moderate,Moderate crevice corrosion
Singida,25/01/2020,79.03,55.28,9.67,1.09,0.65,3.46,1.28,0.83,1.32,0.74,0.49,0.16,Severe,Severe localized attack
Pwani,11/12/2023,45.21,31.62,39.75,0.64,1.5,4.19,0.54,3.4,0.33,0.21,0.16,0.2,Low,Acceptable corrosion rates
Mwanza,08/05/2023,64.42,45.05,16.77,1.76,1.99,4.28,1.16,2.24,0.16,1.65,1.83,0.22,Moderate,Moderate crevice corrosion
Lindi,16/05/2024,67.63,47.3,27.98,1.9,0.14,0.34,0.05,0.72,0.3,0.1,0.25,0.03,Moderate,Uniform corrosion with scaling
Pwani,12/09/2024,72.34,50.6,19.48,0.31,0.83,0.83,1.05,1.96,0.2,0.84,0.72,0.47,Moderate,Selective corrosion activity
Dodoma,22/06/2022,76.83,53.74,16.57,1.58,0.24,1.43,0.66,0.92,0.7,0.18,0.16,0.25,Moderate,Moderate pitting observed
Iringa,22/06/2025,51.53,36.04,36.46,0.42,0.7,2.02,1.98,3.48,0.06,1.56,0.99,0.41,Low,Minimal corrosion activity
Kigoma,17/06/2022,65.7,45.95,26.14,1.41,0.09,1.68,0.94,2.4,0.28,0.52,0.06,0.1,Moderate,Moderate crevice corrosion
Mbeya,22/01/2023,49.57,34.67,42.28,0.97,0.72,0.7,0.28,0.31,0.27,0.88,0.1,0.29,Low,Protective oxide layer formation
Tanga,20/11/2024,50.88,35.59,31.37,0.56,0.92,1.2,1.57,6.51,0.2,2.23,1.86,0.31,Low,Protective oxide layer formation
Rukwa,12/06/2025,71.57,50.06,18.33,1.11,0.32,3.02,0.93,2.23,0.36,0.17,1.06,0.08,Moderate,Uniform corrosion with scaling
Shinyanga,28/04/2020,91.89,64.27,5.85,2.35,0.05,0.2,0.1,0.5,1.1,0.1,0.05,0.05,High,Severe corrosion (oxidation and MIC)
Njombe,11/05/2024,87.75,61.37,10.09,3.19,0.05,0.2,0.1,0.5,0.52,0.1,0.05,0.05,Severe,Critical stress corrosion cracking
Tabora,08/10/2023,71.03,49.68,25.32,1.21,0.13,0.45,0.19,0.71,0.2,0.19,0.3,0.26,Moderate,Moderate pitting observed
Lindi,14/07/2024,83.04,58.08,1.68,1.18,0.09,1.99,2.17,2.26,0.46,2.17,0.45,0.23,Severe,Rapid corrosion propagation
Dodoma,07/11/2021,58.32,40.79,27.1,0.35,0.96,2.56,1.1,1.22,0.67,2.39,0.26,0.59,Moderate,Uniform corrosion with scaling
Madimba,29/03/2025,72.8,50.92,19.9,1.65,0.05,1.33,0.27,1.66,0.28,0.77,0.76,0.53,Moderate,Selective corrosion activity
Pwani,06/06/2021,76.59,53.57,15.05,1.47,0.28,1.23,1.43,0.46,0.44,0.58,0.89,0.7,Moderate,Moderate crevice corrosion
Dar es Salaam,27/12/2025,47.08,32.93,38.07,0.28,0.9,3.78,0.54,4.69,0.24,1.55,0.6,0.15,Very Low,Negligible corrosion detected
Tanga,20/04/2020,50.36,35.22,44.62,0.92,0.38,0.52,0.19,1.29,0.11,0.39,0.34,0.43,Very Low,Passive corrosion behavior
Kagera,01/06/2024,82.98,58.04,5.02,3.08,0.05,2.7,0.68,2.34,0.83,0.75,0.21,0.41,High,Advanced galvanic corrosion
Bukoba,21/04/2020,53.83,37.65,29.42,0.67,1.34,6.25,0.2,2.51,0.25,1.89,1.61,0.16,Very Low,No significant deterioration
Arusha,09/12/2020,53.68,37.55,39.92,0.11,0.49,0.3,1.12,1.83,0.3,0.78,0.05,0.03,Low,Slight discoloration only
Lindi,21/10/2024,68.95,48.22,27.02,0.96,0.41,0.13,0.42,0.48,0.23,0.27,0.42,0.5,Moderate,Moderate pitting observed
Pwani,09/07/2021,57.11,39.95,27.99,0.95,0.01,3.51,0.25,4.77,0.69,0.51,0.61,0.1,Moderate,Uniform corrosion with scaling
Kagera,06/03/2025,70.57,49.36,23.99,1.76,0.12,0.11,0.67,0.35,0.76,0.28,0.28,0.22,Moderate,General surface corrosion
Tabora,14/01/2022,65.12,45.55,22.76,1.07,1.18,0.86,1.08,1.29,0.4,2.22,1.34,0.19,Moderate,Selective corrosion activity
Pemba,24/07/2020,68.13,47.65,20.8,1.02,0.13,2.64,0.25,2.3,0.47,1.35,0.13,0.78,Moderate,Moderate crevice corrosion
Dodoma,01/12/2022,76.21,53.3,3.05,2.44,0.69,5.49,1.55,5.82,0.93,0.7,0.59,0.73,High,Extensive uniform corrosion
Singida,01/04/2024,86.16,60.27,4.23,2.0,0.61,1.13,0.51,2.39,0.44,0.64,0.15,0.69,Severe,Severe localized attack
Bukoba,02/09/2023,93.93,65.7,3.39,2.27,0.05,0.2,0.1,0.5,0.81,0.1,0.05,0.05,Severe,Critical stress corrosion cracking
Bukoba,16/05/2022,59.05,41.3,19.63,1.25,2.4,5.19,2.3,0.54,0.71,2.3,1.46,0.74,Moderate,Uniform corrosion with scaling
Shinyanga,05/02/2025,58.5,40.92,26.28,1.83,1.08,0.12,2.96,3.54,0.58,2.18,1.16,0.28,Moderate,General surface corrosion
Bukoba,31/08/2023,80.83,56.53,2.1,2.88,1.19,1.4,1.7,0.98,1.41,2.32,0.47,0.01,Severe,Rapid corrosion propagation
Mtwara,14/10/2023,83.2,58.19,6.25,2.74,0.04,1.29,0.47,2.21,0.89,0.38,0.89,0.19,Severe,Deep penetration corrosion
Bukoba,01/04/2024,51.15,35.78,38.31,0.82,0.15,2.85,1.05,3.43,0.23,0.59,0.84,0.23,Low,Light surface scaling
Tabora,13/02/2023,42.69,29.86,44.42,0.08,0.92,3.19,1.31,2.93,0.26,0.16,1.44,0.34,Low,Slight discoloration only
Kigoma,22/09/2024,79.54,55.63,2.78,1.62,0.81,4.17,0.93,5.21,0.81,1.2,0.43,0.14,Severe,Critical stress corrosion cracking
Madimba,30/10/2022,87.35,61.09,4.72,4.43,0.06,0.32,0.35,0.44,1.17,0.22,0.16,0.04,High,Advanced galvanic corrosion
Madimba,01/12/2020,84.84,59.34,2.89,1.15,0.38,0.46,2.25,2.72,0.51,0.14,1.78,0.58,Severe,Metal loss in carbon steel
Ruvuma,10/04/2025,57.85,40.46,40.86,0.6,0.01,0.11,0.05,0.21,0.26,0.05,0.01,0.01,Very Low,Optimal material performance
Madimba,20/03/2020,50.96,35.64,32.94,0.68,0.96,5.7,1.08,3.04,0.06,1.42,1.48,0.42,Low,Minor surface oxidation
Morogoro,01/08/2020,82.83,57.93,3.64,4.09,0.26,3.31,0.86,0.47,0.71,0.45,1.8,0.67,Severe,Deep penetration corrosion
Ruvuma,04/12/2023,69.17,48.38,18.27,1.0,0.75,2.15,1.07,0.81,0.75,1.4,1.04,0.12,Moderate,Moderate crevice corrosion
